date,event,룬_콤보킬,몬스터파크,몬컬_세트,미라클_타임,샤이닝_스타포스,소울_확률,솔에르다_2배,솔에르다_타임,스타포스_1+1,스타포스_30%할인,스타포스_5_10_15,스타포스_파괴감소,어빌리티_반값,주문의_흔적_반값,트레져_헌터,헥사_스텟,현상금_사냥꾼
2017.03.12,(-),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2017.03.26,(도전! 메이플 레인보우!),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2017.04.02,(달콤한 질주 : 더 꿀),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017.04.09,(달콤한 질주 : 더 꿀),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2017.04.16,(-),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017.04.23,(-),0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2017.04.30,<우주 Like 메이플?>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017.05.07,<우주 Like 메이플?>,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017.05.14,<우주 Like 메이플?>,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017.05.21,<우주 Like 메이플?>,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2017.05.28,<우주 Like 메이플?>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017.06.11,<우주 Like 메이플?>,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2017.06.25,<NOVA>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017.07.02,<NOVA>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017.07.09,<NOVA>,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017.07.16,<NOVA>,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2017.07.23,<NOVA>,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2017.07.30,<NOVA>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017.08.13,<NOVA>,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017.08.27,<NOVA>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017.09.03,<NOVA>,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017.09.10,<NOVA>,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2017.09.17,(헤이스트),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017.09.24,(헤이스트),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017.10.01,<메이플 필름 페스티벌>,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017.10.15,<메이플 필름 페스티벌>,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2017.10.22,<메이플 필름 페스티벌>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017.10.29,(고스트 콜렉터즈),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2017.11.05,(고스트 콜렉터즈),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017.11.12,(도전! 메이플 레인보우!),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017.11.19,(도전! 메이플 레인보우!),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017.11.26,(폴로와 프리토의 헌팅위크),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2017.12.03,(폴로와 프리토의 헌팅위크),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2017.12.10,(핑크빈의 데굴데굴 하우스),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017.12.17,(핑크빈의 데굴데굴 하우스),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017.12.24,<ARK>,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2018.01.07,<ARK>,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2018.01.14,<ARK>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018.02.11,<ARK>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018.02.18,<ARK>,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018.03.04,(토벤 머리 용사님을 도와줘!),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018.03.11,(토벤 머리 용사님을 도와줘!),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2018.03.18,(높이높이 왕관 쌓기),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2018.03.25,(높이높이 왕관 쌓기),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2018.04.01,(헤이스트),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018.04.08,(헤이스트),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018.04.15,(메이플 해시태그),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018.04.22,(메이플 해시태그),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018.04.29,<메이플 15번가>,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2018.05.13,<메이플 15번가>,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2018.05.27,<메이플 15번가>,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018.06.10,<메이플 15번가>,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2018.06.17,<메이플 15번가>,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2018.06.24,<검은마법사>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018.07.01,<검은마법사>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2018.07.08,<검은마법사>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018.07.15,<검은마법사>,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2018.07.29,<검은마법사>,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2018.08.12,<검은마법사>,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2018.08.26,<검은마법사>,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2018.09.09,<검은마법사>,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
2018.09.16,<검은마법사>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018.09.23,<유타네 콩닭농장>,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2018.10.07,<유타네 콩닭농장>,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018.10.21,(사냥 가속 할로윈 x 헤이스트),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018.10.28,(사냥 가속 할로윈 x 헤이스트),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018.11.04,(-),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2018.11.11,(-),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2018.11.18,(명탐정 페페의 탐정사무소),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018.11.25,(명탐정 페페의 탐정사무소),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018.12.02,(택티컬 릴레이),0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018.12.09,(택티컬 릴레이),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2018.12.16,(카밀라의 크리스마스 베이커리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018.12.23,(카밀라의 크리스마스 베이커리),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018.12.30,<어드벤처>,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2019.01.06,<어드벤처>,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019.01.13,<어드벤처>,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019.01.20,<어드벤처>,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019.02.03,<어드벤처>,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2019.02.17,<어드벤처>,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019.03.03,<어드벤처>,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019.03.17,<어드벤처>,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
